Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.1,3616,1,3616.0,3616.0,3616,3616,0.0,   1    1    1, 512    1    1,_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_7MeanOpsIffffEEjfLi4ELi4EEEEEvT1_
0.1,3616,2,1808.0,1808.0,1696,1920,158.4,  32    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIffbNS0_51_GLOBAL__N__28ce311f_18_CompareEQKernel_cu_d8008c9616CompareEqFunctorIfEEEESt5arrayIPcLm3EEEEviT0_T1_
0.1,3584,3,1194.7,1120.0,1120,1344,129.3,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_15binary_internal10MulFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.1,3488,3,1162.7,1152.0,1152,1184,18.5,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_15CUDAFunctor_addIfEESt5arrayIPcLm3EEEEviT0_T1_
0.1,3456,2,1728.0,1728.0,1696,1760,45.3,   4    1    1, 128    1    1,_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIlEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_
0.1,3392,2,1696.0,1696.0,1568,1824,181.0, 512    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi8EZNS0_25bfloat16_copy_kernel_cudaERNS_18TensorIteratorBaseEEUlfE_St5arrayIPcLm2EEEEviT0_T1_
0.1,3360,3,1120.0,1120.0,1088,1152,32.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13AUnaryFunctorIN3c108BFloat16ES4_bNS0_51_GLOBAL__N__28ce311f_18_CompareEQKernel_cu_d8008c9616CompareEqFunctorIS4_EEEESt5arrayIPcLm2EEEEviT0_T1_
0.1,3264,3,1088.0,1088.0,1088,1088,0.0,   2    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi8ENS0_15CUDAFunctor_addIN3c108BFloat16EEESt5arrayIPcLm3EEEEviT0_T1_
0.1,3232,1,3232.0,3232.0,3232,3232,0.0,  64    1    1, 128    1    1,_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_128x32_8x5_nn_align1EEvNT_6ParamsE
0.1,3136,1,3136.0,3136.0,3136,3136,0.0,   2    1    1, 128    1    1,_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_128x32_8x5_tn_align1EEvNT_6ParamsE
